Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
91,7,0,0,-13,144,-4,0
91,8,0,6,-12,132,0,0
92,1,0,0,-12,143,-12,0
92,2,0,0,0,106,-14,0
92,3,0,0,-5,152,-5,0
92,4,0,0,-18,144,0,0
92,5,0,0,-13,144,-4,0
92,6,0,0,-4,148,-16,0
92,7,0,0,-14,148,0,0
92,8,0,0,-5,159,-5,0
93,1,0,0,-20,121,-20,0
93,2,0,0,0,100,-6,0
93,3,0,0,-5,152,-5,0
93,4,0,0,-17,140,-4,0
93,5,0,0,-13,147,-9,0
93,6,0,0,0,153,-9,0
93,7,0,0,-19,125,-8,0
93,8,0,0,-17,142,-9,0
94,1,0,0,-8,149,-13,0
94,2,0,0,-14,148,0,0
94,3,0,0,-13,144,-4,0
94,4,0,0,-4,142,-19,0
94,5,0,0,0,163,-5,0
94,6,0,0,-21,140,-9,0
94,7,0,0,-8,147,-12,0
94,8,0,0,-15,102,-12,0
95,1,0,0,-19,98,0,0
95,2,0,0,-12,140,-8,0
95,3,0,0,-22,130,-18,0
95,4,0,0,-16,137,-8,0
95,5,0,0,0,161,0,0
95,6,0,0,-21,135,-4,0
95,7,0,0,-15,154,0,0
95,8,0,0,-7,130,-11,0
96,1,0,0,-23,101,-3,0
96,2,0,3,-22,115,-22,0
96,3,0,0,0,162,0,0
96,4,0,0,-13,143,-4,0
96,5,0,0,-17,131,0,0
96,6,0,2,-17,125,-17,0
96,7,0,0,-18,143,0,0
96,8,0,0,-14,143,0,0
97,1,0,2,-15,123,-28,0
97,2,0,0,-17,115,-10,0
97,3,0,0,-16,121,-25,0
97,4,0,0,-23,139,0,0
97,5,0,0,-18,143,0,0
97,6,0,0,-10,158,0,0
97,7,0,0,-12,125,0,0
97,8,0,0,-9,152,0,0
98,1,0,2,-10,128,-26,0
98,2,0,0,-3,109,-19,0
98,3,0,0,-21,135,-4,0
98,4,0,0,-5,157,0,0
98,5,0,3,-16,122,-25,0
98,6,0,0,0,140,-21,0
98,7,0,0,-27,135,0,0
98,8,0,0,-19,130,-12,0
99,1,0,0,-11,136,-22,0
99,2,0,0,-18,110,0,0
